sample_id,group_id,model,dataset,split,correct,error,hallucination,rating,hallucination_types,answer_length,ppl,se,umpire,u_ppl,u_se,u_umpire,uq_percentile_mean,cluster,cluster_profile,is_low_uq_cluster,is_low_uq_hallucination,is_low_uq_hallucination_severe
vilp-5-case1,vilp-5,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.0048993826700223,0.5096503736681975,-12.549685057057228,0.42173423423423423,0.42511261261261263,0.21227477477477477,0.35304054054054057,0,consensus_low,1,1,1
vilp-8-case2,vilp-8,llava,vilp,test,0,1,1,0,vision_hallucination|reasoning_hallucination,1,1.0005942547508586,0.5003622343330636,-18.19295393490599,0.13682432432432431,0.39245495495495497,0.04448198198198198,0.19125375375375375,0,consensus_low,1,1,1
vilp-8-case3,vilp-8,llava,vilp,test,0,1,1,1,reasoning_hallucination,1,1.0005444780435588,-0.0,-20.545810003320856,0.12781531531531531,0.12274774774774774,0.010698198198198198,0.08708708708708708,0,consensus_low,1,1,1
vilp-17-case3,vilp-17,llava,vilp,test,0,1,1,1,vision_hallucination,1,1.0006226061978791,0.5212212088140804,-7.016164529997712,0.14808558558558557,0.4363738738738739,0.3778153153153153,0.32075825825825827,0,consensus_low,1,1,1
vilp-22-case3,vilp-22,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.0001012391045117,0.674916601146789,-13.284907170405248,0.006193693693693694,0.5737612612612613,0.18524774774774774,0.2550675675675676,0,consensus_low,1,1,1
vilp-23-case2,vilp-23,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.0078233482179595,-0.0,-10.537305693004107,0.4814189189189189,0.12274774774774774,0.27646396396396394,0.29354354354354356,0,consensus_low,1,1,1
vilp-26-case2,vilp-26,llava,vilp,test,0,1,1,1,reasoning_hallucination,1,1.0004173654924686,-0.0,-20.589014064160946,0.08952702702702703,0.12274774774774774,0.009572072072072071,0.07394894894894895,0,consensus_low,1,1,1
vilp-26-case3,vilp-26,llava,vilp,test,0,1,1,1,reasoning_hallucination,1,1.0003304757729925,0.6730167565419143,-16.070079557628134,0.0625,0.5512387387387387,0.10191441441441441,0.23855105105105104,0,consensus_low,1,1,1
vilp-38-case1,vilp-38,llava,vilp,test,0,1,1,1,vision_hallucination,1,1.0000979900345883,0.6734505409360474,-14.365237779569108,0.005067567567567568,0.5591216216216216,0.15934684684684686,0.24117867867867868,0,consensus_low,1,1,1
vilp-39-case3,vilp-39,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.0107752916878274,-0.0,-16.620504229890557,0.5073198198198198,0.12274774774774774,0.08277027027027027,0.2376126126126126,0,consensus_low,1,1,1
vilp-41-case3,vilp-41,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.0002368684000258,0.0043900180535827,6.006159054971791,0.04560810810810811,0.24718468468468469,0.6323198198198198,0.30837087087087084,0,consensus_low,1,1,1
vilp-55-case2,vilp-55,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.0000852269181402,-0.0,-20.128150432504594,0.0016891891891891893,0.12274774774774774,0.014076576576576577,0.04617117117117117,0,consensus_low,1,1,1
vilp-55-case3,vilp-55,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.000118299523004,-0.0,-19.35093054313158,0.01295045045045045,0.12274774774774774,0.020833333333333332,0.05217717717717718,0,consensus_low,1,1,1
