model,dataset,low_fraction,pattern,n,error_n,hallucination_n,error_rate,hallucination_rate,severe_low_uq_n
llava,vilp,0.2,perplexity=low|semantic_entropy=low|umpire=low,47,9,13,0.19148936170212766,0.2765957446808511,8
llava,vilp,0.2,perplexity=low|semantic_entropy=low|umpire=not_low,14,5,9,0.35714285714285715,0.6428571428571429,5
llava,vilp,0.2,perplexity=low|semantic_entropy=not_low|umpire=low,42,16,18,0.38095238095238093,0.42857142857142855,13
llava,vilp,0.2,perplexity=low|semantic_entropy=not_low|umpire=not_low,75,37,43,0.49333333333333335,0.5733333333333334,31
llava,vilp,0.2,perplexity=not_low|semantic_entropy=low|umpire=low,47,12,19,0.2553191489361702,0.40425531914893614,10
llava,vilp,0.2,perplexity=not_low|semantic_entropy=low|umpire=not_low,70,29,33,0.4142857142857143,0.4714285714285714,20
llava,vilp,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=low,42,12,21,0.2857142857142857,0.5,9
llava,vilp,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=not_low,551,315,309,0.5716878402903811,0.5607985480943739,241
llava,hallusionbench,0.2,perplexity=low|semantic_entropy=low|umpire=low,52,29,31,0.5576923076923077,0.5961538461538461,26
llava,hallusionbench,0.2,perplexity=low|semantic_entropy=low|umpire=not_low,14,9,9,0.6428571428571429,0.6428571428571429,7
llava,hallusionbench,0.2,perplexity=low|semantic_entropy=not_low|umpire=low,31,18,22,0.5806451612903226,0.7096774193548387,17
llava,hallusionbench,0.2,perplexity=low|semantic_entropy=not_low|umpire=not_low,125,59,87,0.472,0.696,56
llava,hallusionbench,0.2,perplexity=not_low|semantic_entropy=low|umpire=low,71,25,38,0.352112676056338,0.5352112676056338,20
llava,hallusionbench,0.2,perplexity=not_low|semantic_entropy=low|umpire=not_low,85,46,60,0.5411764705882353,0.7058823529411765,37
llava,hallusionbench,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=low,68,25,40,0.36764705882352944,0.5882352941176471,24
llava,hallusionbench,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=not_low,663,350,514,0.5279034690799397,0.77526395173454,319
llava,mmvet,0.2,perplexity=low|semantic_entropy=low|umpire=low,18,1,4,0.05555555555555555,0.2222222222222222,0
llava,mmvet,0.2,perplexity=low|semantic_entropy=not_low|umpire=low,10,5,4,0.5,0.4,4
llava,mmvet,0.2,perplexity=low|semantic_entropy=not_low|umpire=not_low,16,13,14,0.8125,0.875,12
llava,mmvet,0.2,perplexity=not_low|semantic_entropy=low|umpire=low,11,5,5,0.45454545454545453,0.45454545454545453,5
llava,mmvet,0.2,perplexity=not_low|semantic_entropy=low|umpire=not_low,15,11,9,0.7333333333333333,0.6,8
llava,mmvet,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=low,5,2,2,0.4,0.4,1
llava,mmvet,0.2,perplexity=not_low|semantic_entropy=not_low|umpire=not_low,142,131,107,0.9225352112676056,0.7535211267605634,100
qwen,vilp,0.2,perplexity=low|semantic_entropy=low|umpire=low,35,4,4,0.11428571428571428,0.11428571428571428,3
qwen,vilp,0.2,perplexity=low|semantic_entropy=low|umpire=not_low,12,1,0,0.08333333333333333,0.0,0
qwen,vilp,0.2,perplexity=low|semantic_entropy=not_low|umpire=low,60,6,7,0.1,0.11666666666666667,4
qwen,vilp,0.2,perplexity=low|semantic_entropy=not_low|umpire=not_low,73,26,18,0.3561643835616438,0.2465753424657534,16
qwen,vilp,0.2,perplexity=not_low|semantic_entropy=low|umpire=low,37,6,5,0.16216216216216217,0.13513513513513514,5
