model,dataset,method,low_fraction,sample_id,group_id,uq_score,correct,error,hallucination,quadrant,rating
llava,vilp,perplexity,0.2,vilp-243-case1,vilp-243,1.0000460132162057,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-55-case2,vilp-55,1.0000852269181402,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-253-case3,vilp-253,1.0000880936460128,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-130-case3,vilp-130,1.0000924430360254,0,1,0,wrong_clean,4
llava,vilp,perplexity,0.2,vilp-38-case1,vilp-38,1.0000979900345885,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-22-case3,vilp-22,1.0001012391045117,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-228-case1,vilp-228,1.0001047507320373,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-103-case2,vilp-103,1.0001081799958045,0,1,0,wrong_clean,5
llava,vilp,perplexity,0.2,vilp-43-case2,vilp-43,1.0001094341271717,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-96-case1,vilp-96,1.0001121344632236,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-253-case1,vilp-253,1.00011306832111,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-55-case3,vilp-55,1.000118299523004,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-218-case3,vilp-218,1.0001321913492185,1,0,1,correct_hallucination,1
llava,vilp,perplexity,0.2,vilp-299-case1,vilp-299,1.0001357706940839,1,0,0,correct_clean,6
llava,vilp,perplexity,0.2,vilp-56-case3,vilp-56,1.0001432505026064,0,1,1,wrong_hallucination,2
llava,vilp,perplexity,0.2,vilp-130-case2,vilp-130,1.000152100303956,0,1,1,wrong_hallucination,1
llava,vilp,perplexity,0.2,vilp-103-case1,vilp-103,1.0001577674650417,1,0,1,correct_hallucination,1
