sample_id,group_id,model,dataset,split,correct,error,hallucination,rating,hallucination_types,answer_length,ppl,se,umpire
vilp-0-case1,vilp-0,llava,vilp,test,1,0,1,1,vision_hallucination,1,1.0070494412181838,0.3547896260622846,-4.077381537359949
vilp-0-case2,vilp-0,llava,vilp,test,1,0,0,6,,1,1.0130845307989516,0.8785547231746832,-7.10861649170806
vilp-0-case3,vilp-0,llava,vilp,test,1,0,1,2,vision_hallucination,1,1.271464108899059,1.3239227181247675,-7.6546036980283025
vilp-1-case1,vilp-1,llava,vilp,test,0,1,1,1,reasoning_hallucination,1,1.1636787058751432,0.6658472937383968,5.674544949070187
vilp-1-case2,vilp-1,llava,vilp,test,1,0,0,6,,1,1.0004703584311132,1.3558757177817964,-0.5602810720214322
vilp-1-case3,vilp-1,llava,vilp,test,0,1,1,1,vision_hallucination,1,1.499079484752644,1.2535850468452592,25.844064638337628
vilp-2-case1,vilp-2,llava,vilp,test,1,0,0,6,,1,1.0154912451006384,1.0450664397602323,-8.62243660268458
vilp-2-case2,vilp-2,llava,vilp,test,1,0,0,6,,1,1.218546215169817,0.6790572203562117,23.297934686153436
vilp-2-case3,vilp-2,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.005098223723132,0.8964944088232023,6.7037954146564545
vilp-3-case1,vilp-3,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.1262799495214113,1.4291940816906699,29.52087495878364
vilp-3-case2,vilp-3,llava,vilp,test,0,1,0,4,,1,1.207697154915889,0.564922297568117,22.309040488468092
vilp-3-case3,vilp-3,llava,vilp,test,1,0,0,6,,1,1.1879369107935172,1.3333742142755014,6.096345008212827
vilp-4-case1,vilp-4,llava,vilp,test,0,1,1,0,vision_hallucination|reasoning_hallucination,1,1.2285370837388714,0.8266056548851173,16.052353318655747
vilp-4-case2,vilp-4,llava,vilp,test,1,0,1,2,vision_hallucination|reasoning_hallucination,1,1.2536221550643492,0.9965097119235433,45.37541560689054
vilp-4-case3,vilp-4,llava,vilp,test,0,1,1,1,vision_hallucination,1,1.3062525293183265,0.760759981161733,16.388197145290803
vilp-5-case1,vilp-5,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.0048993826700223,0.5096503736681975,-12.549685057057228
vilp-5-case2,vilp-5,llava,vilp,test,0,1,1,0,vision_hallucination|reasoning_hallucination,1,1.0014827251492653,0.9600443603749171,-11.849221283680828
vilp-5-case3,vilp-5,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.0044530630364548,1.1399493606673003,-0.887920868093449
vilp-6-case1,vilp-6,llava,vilp,test,1,0,0,6,,1,1.0003275035178536,0.4999691193353833,-16.57012260076235
vilp-6-case2,vilp-6,llava,vilp,test,1,0,1,2,reasoning_hallucination,1,1.0011471670221561,-0.0,-17.273132425585047
vilp-6-case3,vilp-6,llava,vilp,test,1,0,0,6,,1,1.0002222651918706,0.500617906191906,-15.274866798672095
vilp-7-case1,vilp-7,llava,vilp,test,1,0,0,6,,1,1.3813460959961879,1.2950136308411258,20.656410980558782
vilp-7-case2,vilp-7,llava,vilp,test,0,1,1,1,vision_hallucination,1,1.427423132027333,1.0099505169133156,8.004589671880069
vilp-7-case3,vilp-7,llava,vilp,test,0,1,1,0,vision_hallucination|reasoning_hallucination,1,1.4903695791727805,0.5432763740242541,6.531582486696799
vilp-8-case1,vilp-8,llava,vilp,test,1,0,0,6,,1,1.0007432177864877,-0.0,-20.59565808443927
vilp-8-case2,vilp-8,llava,vilp,test,0,1,1,0,vision_hallucination|reasoning_hallucination,1,1.0005942547508586,0.5003622343330636,-18.19295393490599
vilp-8-case3,vilp-8,llava,vilp,test,0,1,1,1,reasoning_hallucination,1,1.0005444780435588,-0.0,-20.545810003320856
vilp-9-case1,vilp-9,llava,vilp,test,1,0,0,6,,1,1.0002680336188066,-0.0,-17.78827240359461
vilp-9-case2,vilp-9,llava,vilp,test,0,1,0,4,,1,1.0002069427138875,0.6729851807040264,-14.549787853278795
vilp-9-case3,vilp-9,llava,vilp,test,0,1,0,4,,1,1.0001782749625292,-0.0,-17.33640964560837
vilp-10-case1,vilp-10,llava,vilp,test,1,0,0,6,,1,1.0003510331265733,0.4963042109016354,-15.380975765422502
vilp-10-case2,vilp-10,llava,vilp,test,1,0,0,6,,1,1.0008936531914152,0.5004294087883397,-16.23701548397618
vilp-10-case3,vilp-10,llava,vilp,test,0,1,1,1,reasoning_hallucination,1,1.000500514266195,0.6653794799519726,-9.645090410631283
vilp-11-case1,vilp-11,llava,vilp,test,1,0,0,6,,1,1.0007604736336069,-0.0,-19.175159266223854
vilp-11-case2,vilp-11,llava,vilp,test,1,0,1,2,vision_hallucination,1,1.0003380932213306,-0.0,-18.373492736671597
vilp-11-case3,vilp-11,llava,vilp,test,1,0,0,6,,1,1.0003819396086235,0.5004781134960793,-17.38871869371829
vilp-12-case1,vilp-12,llava,vilp,test,1,0,0,6,,1,1.0710932376655997,-0.0,-10.197347952045009
vilp-12-case2,vilp-12,llava,vilp,test,0,1,1,1,reasoning_hallucination,1,1.002994554066178,1.322015645383548,-4.819886110118832
vilp-12-case3,vilp-12,llava,vilp,test,1,0,1,2,reasoning_hallucination,1,1.0431770087008778,1.2947322803058379,3.2242716339150697
vilp-13-case1,vilp-13,llava,vilp,test,1,0,0,6,,1,1.0036328401815975,0.38043427847223704,-8.19428183822919
